"時点","地域コード","地域","（季節調整値）有効求人倍率【倍】","注記"
"1963年1月","00000","全国","0.56",""
"1963年2月","00000","全国","0.60",""
"1963年3月","00000","全国","0.64",""
"1963年4月","00000","全国","0.68",""
"1963年5月","00000","全国","0.71",""
"1963年6月","00000","全国","0.80",""
"1963年7月","00000","全国","0.77",""
"1963年8月","00000","全国","0.72",""
"1963年9月","00000","全国","0.71",""
"1963年10月","00000","全国","0.71",""
"1963年11月","00000","全国","0.72",""
"1963年12月","00000","全国","0.73",""
"1964年1月","00000","全国","0.75",""
"1964年2月","00000","全国","0.76",""
"1964年3月","00000","全国","0.76",""
"1964年4月","00000","全国","0.79",""
"1964年5月","00000","全国","0.81",""
"1964年6月","00000","全国","0.83",""
"1964年7月","00000","全国","0.83",""
"1964年8月","00000","全国","0.82",""
"1964年9月","00000","全国","0.83",""
"1964年10月","00000","全国","0.81",""
"1964年11月","00000","全国","0.79",""
"1964年12月","00000","全国","0.78",""
"1965年1月","00000","全国","0.74",""
"1965年2月","00000","全国","0.71",""
"1965年3月","00000","全国","0.71",""
"1965年4月","00000","全国","0.70",""
"1965年5月","00000","全国","0.66",""
"1965年6月","00000","全国","0.63",""
"1965年7月","00000","全国","0.60",""
"1965年8月","00000","全国","0.58",""
"1965年9月","00000","全国","0.57",""
"1965年10月","00000","全国","0.57",""
"1965年11月","00000","全国","0.56",""
"1965年12月","00000","全国","0.55",""
"1966年1月","00000","全国","0.58",""
"1966年2月","00000","全国","0.62",""
"1966年3月","00000","全国","0.67",""
"1966年4月","00000","全国","0.70",""
"1966年5月","00000","全国","0.71",""
"1966年6月","00000","全国","0.73",""
"1966年7月","00000","全国","0.72",""
"1966年8月","00000","全国","0.78",""
"1966年9月","00000","全国","0.82",""
"1966年10月","00000","全国","0.85",""
"1966年11月","00000","全国","0.85",""
"1966年12月","00000","全国","0.85",""
"1967年1月","00000","全国","0.87",""
"1967年2月","00000","全国","0.90",""
"1967年3月","00000","全国","0.91",""
"1967年4月","00000","全国","0.94",""
"1967年5月","00000","全国","0.97",""
"1967年6月","00000","全国","1.00",""
"1967年7月","00000","全国","1.02",""
"1967年8月","00000","全国","1.08",""
"1967年9月","00000","全国","1.09",""
"1967年10月","00000","全国","1.09",""
"1967年11月","00000","全国","1.11",""
"1967年12月","00000","全国","1.10",""
"1968年1月","00000","全国","1.11",""
